type,url
IT,https://news.ycombinator.com/rss
IT,https://www.techdirt.com/feed/
Fun,https://hackspace.raspberrypi.org/feed
IT,https://www.bleepingcomputer.com/feed/
Microsoft,https://www.microsoft.com/en-us/microsoft-365/blog/feed/
Microsoft,https://azure.microsoft.com/en-us/blog/feed/
Apple,https://www.appleinsider.com/appleinsider.rss
Apple,https://feeds.macrumors.com/MacRumors-All
Movies,https://variety.com/v/film/feed
Movies,https://www.themix.net/feed/
Fun,http://news.mit.edu/rss/feed
Fun,http://www.menshealth.com/events-promotions/washpofeed
Fun,https://feeds.content.dowjones.io/public/rss/RSSLifestyle
Fun,https://feeds.content.dowjones.io/public/rss/socialhealth
Fun,https://feeds.content.dowjones.io/public/rss/RSSArtsCulture
World,https://www.npr.org/rss/rss.php?id=1004
World,https://feeds.a.dj.com/rss/RSSWorldNews.xml
World,https://www.theguardian.com/world/rss
World,https://www.rawstory.com/feeds/feed.rss
US,https://www.npr.org/rss/rss.php?id=1003
US,https://feeds.content.dowjones.io/public/rss/RSSUSnews
US,https://www.rawstory.com/feeds/us-news.rss
Games,https://www.wowhead.com/news/rss/retail
Games,https://www.wowhead.com/news/rss/other-blizzard-games
Games,https://www.gamespot.com/feeds/news/
Games,https://www.videogameschronicle.com/category/news/feed/
Portland,https://www.koin.com/feed
Portland,https://www.kgw.com/feeds/syndication/rss/news
World,https://rss.nytimes.com/services/xml/rss/nyt/World.xml
US,https://rss.nytimes.com/services/xml/rss/nyt/US.xml
IT,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml
US,https://www.seattletimes.com/nation/feed/
World,https://www.seattletimes.com/world/feed/
